0,https://www.instagram.com/healesvilletoyota/,healesvilletoyota,Healesville Toyota108-112 Maroondah Hwy Healesville www.healesvilletoyota.com.au,267 following,467 followers,665 posts,1,1,"Congratulations Trent! Enjoy your Landcruiser 79 and Merry Christmas!

#landcruiser79 #toyotalandcruiser #ohwhatafeeling #healesvilletoyota","Dec 24, 2021",12:11:02,19 likes,0
0,https://www.instagram.com/healesvilletoyota/,healesvilletoyota,Healesville Toyota108-112 Maroondah Hwy Healesville www.healesvilletoyota.com.au,267 following,467 followers,665 posts,2,2,"Wishing you and your families a very happy and safe break. As always we thank you for your loyal support.

#happyholidays #christmastime #thankyouforyoursupport #besafe","Dec 22, 2021",12:11:08,2 likes,1
0,https://www.instagram.com/healesvilletoyota/,healesvilletoyota,Healesville Toyota108-112 Maroondah Hwy Healesville www.healesvilletoyota.com.au,267 following,467 followers,665 posts,3,3,"Congratulations Leigh - a new LandCruiser 79 is not a bad Christmas present! 😉🎄

#ohwhatafeeling #landcruiser79 #toyotalandcruiser #gxl #healesvilletoyota","Dec 21, 2021",12:11:14,32 likes,0
0,https://www.instagram.com/healesvilletoyota/,healesvilletoyota,Healesville Toyota108-112 Maroondah Hwy Healesville www.healesvilletoyota.com.au,267 following,467 followers,665 posts,4,4,Welcome Harry to the HV Toyota family! Congratulations Mark and Kara 👶🏻,"Dec 20, 2021",12:11:20,13 likes,1
0,https://www.instagram.com/healesvilletoyota/,healesvilletoyota,Healesville Toyota108-112 Maroondah Hwy Healesville www.healesvilletoyota.com.au,267 following,467 followers,665 posts,5,5,"Our very first LandCruiser 300 Delivery went out today to Glenn who has been a wonderful guest of Healesville Toyota for 36 years!

#ohwhatafeeling #toyotaforlife #landcruiser300 #guestexperience #loyalty #healesvilletoyota","Dec 14, 2021",12:11:26,45 likes,2
0,https://www.instagram.com/healesvilletoyota/,healesvilletoyota,Healesville Toyota108-112 Maroondah Hwy Healesville www.healesvilletoyota.com.au,267 following,467 followers,665 posts,6,6,"Congratulations Michael on your new LandCruiser 79 series!

#ohwhatafeeling #landcruiser79 #toyotalandcruiser #healesvilletoyota","Dec 11, 2021",12:11:32,16 likes,0
0,https://www.instagram.com/healesvilletoyota/,healesvilletoyota,Healesville Toyota108-112 Maroondah Hwy Healesville www.healesvilletoyota.com.au,267 following,467 followers,665 posts,7,7,"Toyota Certified preowned vehicles lined up and ready to test drive.

#tcpo #toyotacertified #preownedvehicles #peaceofmind #healesvilletoyota","Dec 10, 2021",12:11:38,8 likes,0
0,https://www.instagram.com/healesvilletoyota/,healesvilletoyota,Healesville Toyota108-112 Maroondah Hwy Healesville www.healesvilletoyota.com.au,267 following,467 followers,665 posts,8,8,"Corolla Cross is coming 2022 …

#corollasuv #allnewcorollacross #comingsoon #healesvilletoyota","Dec 3, 2021",12:11:44,5 likes,1
0,https://www.instagram.com/healesvilletoyota/,healesvilletoyota,Healesville Toyota108-112 Maroondah Hwy Healesville www.healesvilletoyota.com.au,267 following,467 followers,665 posts,9,9,"OH WHAT A FEELING!
Big congrats Sean on your new 70th Anniversary LC79 series dual cab ✨

#landcruiser79 #specialedition #dualcab #toyotalandcruiser #healesvilletoyota","Dec 3, 2021",12:11:50,23 likes,0
0,https://www.instagram.com/healesvilletoyota/,healesvilletoyota,Healesville Toyota108-112 Maroondah Hwy Healesville www.healesvilletoyota.com.au,267 following,467 followers,665 posts,10,10,"Yaris Cross has been a popular choice - congratulations Gillian!

#ohwhatafeeling #yariscross #awd #guestexperience #healesvilletoyota","Dec 2, 2021",12:11:56,9 likes,0
